Filename,Title,9,441,Transfer notes,Subdir,Sort,IMDbID,Year,Directors,Actors,Runtime,Priority,Notes,Poster,Genre,Plot,Tagline,Trailer
La Story.iso,L.A. Story,OK,OK,non-anamorphic,,,https://www.imdb.com/title/tt0102250/?ref_=fn_al_tt_1,1991,Mick Jackson,Steve Martin; Sarah Jessica Parker; Victoria Tennant; Marilu Henner; Richard E. Grant,95,,,https://m.media-amazon.com/images/M/MV5BMjcwZGM4ODMtMjY1Yi00NTgwLTkxOWYtYWNiY2FkNjQ0MTlkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_.jpg,Comedy; Drama; Fantasy; Romance,"With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",,
Lady and the Tramp.iso,Lady and the Tramp,OK,OK,non-anamorphic,,,tt0048280,1955,Clyde Geronimi; Wilfred Jackson; Hamilton Luske; Jack Cutting,Barbara Luddy; Larry Roberts; Peggy Lee; Bill Thompson,76,,,https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,Animation; Adventure; Comedy; Drama; Family; Romance,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,,
Land Of The Lost Disc 1.iso,"Land of the Lost, season 1, disc 1",OK,,,,,,1974,,Wesley Eure; Kathy Coleman; Spencer Milligan,,,,https://m.media-amazon.com/images/M/MV5BMjA3NDUyMDA1OV5BMl5BanBnXkFtZTcwNzM3NDI0Mg@@._V1_.jpg,Adventure; Family; Fantasy,A family finds themselves fighting to survive in a land populated by dinosaurs and otherworldly beings.,,
Lotl Season 1 Disc 2.iso,"Land of the Lost, season 1, disc 2",OK,,,,,,,,,,,,,,,,
Lotl Season 1 Disc 3.iso,"Land of the Lost, season 1, disc 3",OK,,,,,,,,,,,,,,,,
Leap Of Faith.iso,Leap of Faith,OK,OK,,,,https://www.imdb.com/title/tt0104695/?ref_=fn_al_tt_1,1992,Richard Pearce,Steve Martin; Debra Winger; Liam Neeson; Lolita Davidovich; Meat Loaf; Lukas Haas; Philip Seymour Hoffman,108,2,Steve Martin is great as a cynical revivalist preacher who rolls into a small town with his con artist crew to fleece the locals but gets more than he bargained for.,https://m.media-amazon.com/images/M/MV5BZGIwMjYyMjgtZjMyMC00ZDZhLTliMmYtOWIxZjljYzFlYTE4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,Comedy; Drama; Romance,Fake faith healer Jonas Nightingale is stranded in a small town where he finds he can't fool all of the people all of the time.,,
Little Women.iso,Little Women,OK,OK,,,,https://www.imdb.com/title/tt3281548/?ref_=fn_al_tt_1,2019,Greta Gerwig,Saoirse Ronan; Timothée Chalamet; Florence Pugh; Emma Watson; Laura Dern; Meryl Streep; Bob Odenkirk; Chris Cooper,135,,,https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Drama; Romance,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",,
Lockstok.iso,"Lock, Stock and Two Smoking Barrels",OK,OK,,,,https://www.imdb.com/title/tt0120735/?ref_=fn_al_tt_1,1998,Guy Ritchie,Jason Flemyng; Dexter Fletcher; Nick Moran; Jason Statham,107,,"Guy Ritchie's directorial debut, and another of the post-Pulp Fiction movies centering on a society of gangsters. His next movie Snatch, is better, but start here. This is also where Jason Statham got his start.",https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,Action; Comedy; Crime,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",,
Logan.iso,Logan,OK,OK,,,,tt3315342,2017,James Mangold,Hugh Jackman; Patrick Stewart,137,,,https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,Action; Drama; Sci-Fi; Thriller,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",,
Logans Run.iso,Logan's Run,OK,OK,,,,https://www.imdb.com/title/tt0074812/?ref_=fn_al_tt_1,1976,Michael Anderson,Michael York; Jenny Agutter; Richard Jordan; Farrah Fawcett; Peter Ustinov; Roscoe Lee Brown,119,3,"Before Star Wars, this was the best sci-fi movie we had. In a future society living in a domed city on a ruined Earth, life is nothing but pleasure - but it ends at 30.",https://m.media-amazon.com/images/M/MV5BZjFiY2IyMmItNmUwZi00ZGYxLThiZGItMWZiZjE0NGVhNWNmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,Action; Adventure; Sci-Fi,A police officer in the future uncovers the deadly secret behind a society that worships youth.,,
Lois And Clark S1 D1.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 1",OK,,,Lois and Clark: The New Adventures of Superman,,,1993,,Dean Cain; Teri Hatcher; Lane Smith,,,,https://m.media-amazon.com/images/M/MV5BZTU1ZGFjNzEtZWYzZC00ZmI0LTg2NmMtN2YyNTY4YzhlODIyXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg,Adventure; Comedy; Drama,"In addition to fighting evil, Superman has a burning romance with Lois Lane in both of his identities.",,
Lois And Clark S1 Na Disc2.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 2",OK,,,Lois and Clark: The New Adventures of Superman,,,,,,,,,,,,,
Lois And Clark S1 D3.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 3",OK,,,Lois and Clark: The New Adventures of Superman,,,,,,,,,,,,,
Lois And Clark S1 D4.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 4",OK,,,Lois and Clark: The New Adventures of Superman,,,,,,,,,,,,,
Lois And Clark S1 D5.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 5",OK,,,Lois and Clark: The New Adventures of Superman,,,,,,,,,,,,,
Lois And Clark S1 D6.iso,"Lois and Clark: The New Adventures of Superman, season 1, disc 6",OK,,,Lois and Clark: The New Adventures of Superman,,,,,,,,,,,,,
Lolita 4x3 Matted Side A Na.iso,Lolita,OK,OK,,,,https://www.imdb.com/title/tt0056193/?ref_=fn_al_tt_2,1962,Stanley Kubrick,James Mason; Shelley Winters; Peter Sellers; Sue Lyon,153,,,https://m.media-amazon.com/images/M/MV5BZTlmODM0ZTgtY2NkZS00Y2ZmLTkxMzktMTE4ZDg2NzNmNDkwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,Crime; Drama; Romance,A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,,
Looney Tunes Golden Disc 1.iso,"Looney Tunes Golden Collection, disc 1",OK,,,Looney Tunes,,,,,,,,,,,,,
Looney Tunes Golden Disc 2.iso,"Looney Tunes Golden Collection, disc 2",OK,,,Looney Tunes,,,,,,,,,,,,,
Looney Tunes Golden Disc 3.iso,"Looney Tunes Golden Collection, disc 3",OK,,,Looney Tunes,,,,,,,,,,,,,
Looney Tunes Golden Disc 4.iso,"Looney Tunes Golden Collection, disc 4",OK,,,Looney Tunes,,,,,,,,,,,,,
Lost In Translation.iso,Lost In Translation,OK,OK,,,,https://www.imdb.com/title/tt0335266/?ref_=fn_al_tt_1,2003,Sofia Coppola,Bill Murray; Scarlett Johansson; Giovanni Ribisi; Anna Faris,102,,,https://m.media-amazon.com/images/M/MV5BMTUxMzk0NDg1MV5BMl5BanBnXkFtZTgwNDg0NjkxMDI@._V1_.jpg,Comedy; Drama,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,,
Love Actually.iso,Love Actually,OK,OK,,,,tt0314331,2003,Richard Curtis,Hugh Grant; Martine McCutcheon; Liam Neeson; Laura Linney,135,,,https://m.media-amazon.com/images/M/MV5BMTY4NjQ5NDc0Nl5BMl5BanBnXkFtZTYwNjk5NDM3._V1_.jpg,Comedy; Drama; Romance,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",,
MadAboutYous1d1.iso,"Mad About You, season 1, disc 1",OK,,,Mad About You,,,1992,,Paul Reiser; Helen Hunt; ,,,,https://m.media-amazon.com/images/M/MV5BMzhiYWI0ZmUtY2UzOC00YTM1LTkwODEtMGUzMmY5OTM0ZGMyXkEyXkFqcGdeQXVyNzQwNzI0OA@@._V1_.jpg,Comedy; Romance,Mad About You centers on the trials and tribulations of a married couple living in New York.,,
MadAboutYous1d2.iso,"Mad About You, season 1, disc 2",OK,,,Mad About You,,,,,Paul Reiser; Helen Hunt; ,,,,,,,,
Magnolia.iso,Magnolia,OK,OK,,,,https://www.imdb.com/title/tt0175880/?ref_=fn_al_tt_1,1999,Paul Thomas Anderson,Tom Cruise; Jason Robards; Julianne Moore; Philip Seymour Hoffman,188,,,https://m.media-amazon.com/images/M/MV5BZjk3YThkNDktNjZjMS00MTBiLTllNTAtYzkzMTU0N2QwYjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",,
Magnolia Extras.iso,Magnolia - Special Features,-,-,,,,,,,,,,,,,,,
Making Mr Right.iso,Making Mr. Right,OK,OK,,,,tt0093477,1987,Susan Seidelman,John Malkovich; Ann Magnuson; Glenne Headly; Ben Masters,98,3,Young John Malkovich in a dual role as a prickly scientist and the wide-eyed android he builds in his own image.,https://m.media-amazon.com/images/M/MV5BYzJiYzY5MDUtNTU1OS00OTNkLTliYTItNzlmNmQ4YjkyMmZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Comedy; Romance; Sci-Fi,"A reclusive scientist builds a robot which looks exactly like Dr. Ulysses, a scientist set to go on a long-term space mission. Since the (real) scientist seems to lack all emotions, he is ...
                    See full summary »",,
March Of The Penguins.iso,March of the Penguins,OK,OK,,,,https://www.imdb.com/title/tt0428803/?ref_=fn_al_tt_1,2005,Luc Jacquet,Morgan Freeman; Romane Bohringer; Charles Berling; Jules Sitruk,80,,,https://m.media-amazon.com/images/M/MV5BMTM1NDc5MDYxMl5BMl5BanBnXkFtZTcwMjMzNDAzMQ@@._V1_.jpg,Documentary; Family,"In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family.",,
Mars Attacks 16x9lb.iso,Mars Attacks!,OK,OK,,,,https://www.imdb.com/title/tt0116996/?ref_=fn_al_tt_1,1996,Tim Burton,Jack Nicholson; Pierce Brosnan; Sarah Jessica Parker; Glenn Close; Annette Bening; Danny DeVito; Natalie Portman; Martin Short; Michael J. Fox; Jim Brown; Tom Jones; Lukas Haas; Rod Steiger; Jack Black; Pam  Grier; Joe Don Baker,106,,,https://m.media-amazon.com/images/M/MV5BNThlMjBmOWItNjljZi00ZGU4LWJkZjgtNWU1ZjI1MTg4MzczXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,Comedy; Sci-Fi,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,,
Mary Poppins.iso,Mary Poppins,OK,X,,,,https://www.imdb.com/title/tt0058331/?ref_=fn_al_tt_1,1964,Robert Stevenson,Julie Andrews; Dick Van Dyke; David Tomlinson; Glynis Johns; Elsa Lanchester; Ed Wynn; Karen Dotrice; Matthew Garber,139,,,https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg,Comedy; Family; Fantasy; Musical,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",,
Mary Poppins Special Features.iso,Mary Poppins - Special Features,-,-,,,,,,,,,,,,,,,
Master And Commander D1.iso,Master and Commander: The Far Side of the World,OK,OK,,,,https://www.imdb.com/title/tt0311113/?ref_=fn_al_tt_1,2003,Peter Weir,Russell Crowe; Paul Bettany,138,,,https://m.media-amazon.com/images/M/MV5BMjA5NjYyMDM5NV5BMl5BanBnXkFtZTYwOTU5MDY2._V1_.jpg,Action; Adventure; Drama; History; War,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",,
Max Fleischer Superman.iso,Max Fleischer's Superman,X,X,,,,,,,,,,,,,,,
Mean Girls 16x9.iso,Mean Girls,OK,OK,,,,https://www.imdb.com/title/tt0377092/?ref_=fn_al_tt_1,2004,Mark Waters,Lindsay Lohan; Jonathan Bennett; Rachel McAdams; Tina Fey,97,,,https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_.jpg,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",,
Megamind.iso,Megamind,OK,X,,,,https://www.imdb.com/title/tt1001526/?ref_=fn_al_tt_1,2010,Tom McGrath,Will Ferrell; Brad Pitt; Tina Fey; Jonah Hill; David Cross; Ben Stiller; J.K. Simmons; Justin Long,95,,,https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_.jpg,Animation; Action; Comedy; Family; Sci-Fi,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",,
Memento.iso,Memento,OK,OK,,,,https://www.imdb.com/title/tt0209144/?ref_=fn_al_tt_1,2000,Christopher Nolan,Guy Pearce; Joe Pantoliano; Carrie-Anne Moss; Stephen Tobolowsky; Jorja Fox,113,,,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,Mystery; Thriller,A man with short-term memory loss attempts to track down his wife's murderer.,,
Memento Disc 2.iso,Memento - Special Features,-,-,,,,,,,,,,,,,,,
Men In Black.iso,Men In Black,OK,OK,,,,https://www.imdb.com/title/tt0119654/?ref_=fn_al_tt_1,1997,Barry Sonnenfeld,Tommy Lee Jones; Will Smith; Linda Fiorentino; Tony Shalhoub; Rip Torn; Vincent D'Onofrio,98,,,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,Action; Adventure; Comedy; Sci-Fi,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,,
Men In Black Special Features.iso,Men In Black - Special Features,-,-,,,,,,,,,,,,,,,
Miami Vice Disc 1 Side A.iso,"Miami Vice, season 1, disc 1, side A",OK,,,Miami Vice,,,1984,,Don Johnson; Philip Michael Thomas,,,,https://m.media-amazon.com/images/M/MV5BMTlmMjJhNDctODg1NS00MzU1LTg3YzEtZGY2ZjYzOGE5OWZmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,Action; Crime; Drama,"Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida.",,
Miami Vice Disc 1 Side B.iso,"Miami Vice, season 1, disc 1, side B",OK,,,Miami Vice,,,,,Don Johnson; Philip Michael Thomas,,,,,,,,
Miami Vice Disc 2 Side A.iso,"Miami Vice, season 1, disc 2, side A",OK,,,Miami Vice,,,,,Don Johnson; Philip Michael Thomas,,,,,,,,
Miami Vice Disc 2 Side B.iso,"Miami Vice, season 1, disc 2, side B",OK,,,Miami Vice,,,,,Don Johnson; Philip Michael Thomas,,,,,,,,
Miami Vice Disc 3 Side A.iso,"Miami Vice, season 1, disc 3, side A",OK,,,Miami Vice,,,,,Don Johnson; Philip Michael Thomas,,,,,,,,
Miami Vice Disc 3 Side B.iso,"Miami Vice, season 1, disc 3, side B",OK,,,Miami Vice,,,,,Don Johnson; Philip Michael Thomas,,,,,,,,
Microcosmos.iso,Microcosmos,OK,OK,,,,https://www.imdb.com/title/tt0117040/?ref_=fn_al_tt_1,1996,Claude Nuridsany; Marie Pérennou,Kristin Scott Thomas; Jacques Perrin,80,,,https://m.media-amazon.com/images/M/MV5BY2UzZmNiMTAtYTRmYS00YzA5LWI3NjQtMjNiOTVjYWI5NTI5XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,Documentary,A documentary on insect life in meadows and ponds.,,
Moana.iso,Moana,OK,OK,,,,tt3521164,2016,Ron Clements; John Musker; Don Hall; Chris Williams,Auli'i Cravalho; Dwayne Johnson; Rachel House; Temuera Morrison,107,,,https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_.jpg,Animation; Adventure; Comedy; Family; Fantasy; Musical,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",,
Monsters D1.iso,Monsters,OK,OK,,,,https://www.imdb.com/title/tt1470827/?ref_=fn_al_tt_1,2010,Gareth Edwards,Scoot McNairy; Whitney Able,94,,,https://m.media-amazon.com/images/M/MV5BMjE4MzMyNjExMl5BMl5BanBnXkFtZTcwMzI5NjM3Mw@@._V1_.jpg,Adventure; Drama; Romance; Sci-Fi; Thriller,"Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border.",,https://www.youtube.com/watch?v=Ol6j9xlQN1w
MonstersInc.iso,"Monsters, Inc.",OK,OK,,,,https://www.imdb.com/title/tt0198781/?ref_=fn_al_tt_1,2001,Peter Docter,Billy Crystal; John Goodman; James Coburn; Steve Buscemi; Jennifer Tilly; John Ratzenberger; Frank Oz; Wallace Shawn,92,,,https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_.jpg,Animation; Adventure; Comedy; Family; Fantasy,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",,
MonstersIncSpecialFeatures.iso,"Monsters, Inc. - Special Features",-,-,,,,,,,,,,,,,,,
Python 1 Fix.iso,Monty Python's Flying Circus - Disc 1,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 01,,2018,,Graham Chapman; John Cleese; Terry Gilliam,,,,https://m.media-amazon.com/images/M/MV5BZGI1N2FiYTYtOWU3Mi00MjBlLWJkMGMtMjZmZTQwMDdiYjY3XkEyXkFqcGdeQXVyMTIwMjIwNjQ2._V1_.jpg,Comedy,The original surreal sketch comedy showcase for the Monty Python troupe.,,
Python 10.iso,Monty Python's Flying Circus - Disc 10,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 10,,,,,,,,,,,,
Python 11.iso,Monty Python's Flying Circus - Disc 11,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 11,,,,,,,,,,,,
Python 12.iso,Monty Python's Flying Circus - Disc 12,OK,OK,,Monty Python's Flying Circus,Monty Python's Flying Circus 12,,,,,,,,,,,,
Python 13.iso,Monty Python's Flying Circus - Disc 13,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 13,,,,,,,,,,,,
Python 14.iso,Monty Python's Flying Circus - Disc 14,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 14,,,,,,,,,,,,
Python 02.iso,Monty Python's Flying Circus - Disc 2,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 02,,,,,,,,,,,,
Python 03.iso,Monty Python's Flying Circus - Disc 3,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 03,,,,,,,,,,,,
Python 04.iso,Monty Python's Flying Circus - Disc 4,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 04,,,,,,,,,,,,
Python 05.iso,Monty Python's Flying Circus - Disc 5,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 05,,,,,,,,,,,,
Python 06.iso,Monty Python's Flying Circus - Disc 6,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 06,,,,,,,,,,,,
Python 07.iso,Monty Python's Flying Circus - Disc 7,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 07,,,,,,,,,,,,
Python 08.iso,Monty Python's Flying Circus - Disc 8,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 08,,,,,,,,,,,,
Python 09.iso,Monty Python's Flying Circus - Disc 9,OK,,,Monty Python's Flying Circus,Monty Python's Flying Circus 09,,,,,,,,,,,,
Moonlighting S1   S2 D1.iso,"Moonlighting, seasons 1&2, disc 1",OK,,,Moonlighting,,,1985,,Cybill Shepherd; Bruce Willis; Allyce Beasley,60,,,https://m.media-amazon.com/images/M/MV5BOGYyMGVmMmMtOTVkMC00YzEzLTkzMDktYjc3MTJkYTkzM2RmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,Comedy; Drama; Mystery,The quirky cases of a former model and a smart aleck detective who manage a private detective agency.,,
Moonlighting S1   S2 D2.iso,"Moonlighting, seasons 1&2, disc 2",OK,,,Moonlighting,,,,,,,,,,,,,
Moonlighting D3.iso,"Moonlighting, seasons 1&2, disc 3",OK,,,Moonlighting,,,,,,,,,,,,,
Moonlighting S1   S2 D4.iso,"Moonlighting, seasons 1&2, disc 4",OK,,,Moonlighting,,,,,,,,,,,,,
Moonlighting S1   S2 D5.iso,"Moonlighting, seasons 1&2, disc 5",OK,,,Moonlighting,,,,,,,,,,,,,
Moonlighting S1   S2 D6.iso,"Moonlighting, seasons 1&2, disc 6",OK,,,Moonlighting,,,,,,,,,,,,,
MrSmith.iso,Mr. Smith Goes to Washington,OK,OK,,,,tt0031679,1939,Frank Capra,James Stewart; Claude Rains,129,,,https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg,Comedy; Drama,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",,
Much Ado About Nothing.iso,Much Ado About Nothing,OK,OK,,,,https://www.imdb.com/title/tt0107616/?ref_=fn_al_tt_1,1993,Kenneth Branagh,Kenneth Branagh; Emma Thompson; Denzel Washington; Robert Sean Leonard; Kate Beckinsale; Keanu Reeves; Michael Keaton; Brian Blessed,111,,,https://m.media-amazon.com/images/M/MV5BY2Q3YTU4OTgtZTc0My00YmY1LWJmOTQtMmMwNGE2ZjBmNmIxXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,Comedy; Drama; Romance,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",,
My Fair Lady.iso,My Fair Lady,OK,OK,,,,https://www.imdb.com/title/tt0058385/?ref_=fn_al_tt_1,1964,George Cukor,Rex Harrison; Audrey Hepburn; Wilfrid Hyde-White; Jeremy Brett,170,,,https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,Drama; Family; Musical; Romance,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,,
My Favorite Year.iso,My Favorite Year,OK,OK,,,,https://www.imdb.com/title/tt0084370/?ref_=fn_al_tt_1,1982,Richard Benjamin,Mark Linn-Baker; Peter O'Toole; Jessica Harper; Joseph Bologna; Bill Macy,92,,,https://m.media-amazon.com/images/M/MV5BNjlhZTYwYzgtODA5MS00OWEyLWI1MWItZThjZmRlYTQ1MGE2XkEyXkFqcGdeQXVyNDI4ODM5MDM@._V1_.jpg,Comedy; Drama,A dissolute matinee idol is slated to appear on a live TV variety show.,,
Mystmen.iso,Mystery Men,OK,OK,,,,https://www.imdb.com/title/tt0132347/?ref_=fn_al_tt_1,1999,Kinka Usher,Ben Stiller; Janeane Garofalo; William H. Macy; Hank Azaria,121,,,https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_.jpg,Action; Comedy; Fantasy; Sci-Fi,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,,
A Night At The Museum D1 Ws.iso,Night at the Museum,OK,OK,,,,tt0477347,2006,Shawn Levy,Ben Stiller; Robin Williams,108,,,https://m.media-amazon.com/images/M/MV5BMTQyOTM4MDMxN15BMl5BanBnXkFtZTcwODg5NTQzMw@@._V1_.jpg,Adventure; Comedy; Family; Fantasy,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,,
A Night At The Museum D2.iso,Night at the Museum - Special Features,-,-,,,,,,,,,,,,,,,
Night At The Museum 2.iso,Night at the Museum: Battle of the Smithsonian,OK,OK,,,,https://www.imdb.com/title/tt1078912/?ref_=fn_al_tt_5,2009,Shawn Levy,Ben Stiller; Robin Williams; Owen Wilson; Shawn Levy; Ricky Gervais; Steve Coogan; Rami Malek; Amy Adams; Hank Azaria; Thomas Lennon,105,,,https://m.media-amazon.com/images/M/MV5BMGZjZDE2NjUtMzVkNy00N2UyLTg5MjYtYzY1ZmM1YWY3ZTZmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_.jpg,Adventure; Comedy; Family; Fantasy,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",,
North By Northwest.iso,North By Northwest,OK,OK,,,,tt0053125,1959,Alfred Hitchcock,Cary Grant; Eva Marie Saint; James Mason; Martin Landau,136,,,https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,Adventure; Mystery; Thriller,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,,
Office Space.iso,Office Space,OK,OK,non-anamorphic,,,https://www.imdb.com/title/tt0151804/?ref_=fn_al_tt_1,1999,Mike Judge,Ron Livingston; Jennifer Aniston; David Herman; Ajay Naidu,89,,,https://m.media-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@._V1_.jpg,Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.,,
Oh God.iso,"Oh, God!",OK,OK,,,,tt0076489,1977,Carl Reiner,John Denver; George Burns; Teri Garr,98,,,https://m.media-amazon.com/images/M/MV5BZDI5ODkzODAtNjJhYy00YjIyLWEzYzUtYjNiZWE1Mzc0MmQ4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg,Comedy; Fantasy,"When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.",,
